,case_id,name,description,ruling
77,PD-1102-20_Texas_2023/06/21,Hervey,Concurred with majority opinion.,concur
78,PD-1102-20_Texas_2023/06/21,Richardson,Concurred with majority opinion.,concur
79,PD-1102-20_Texas_2023/06/21,Newell,Concurred with majority opinion.,concur
80,PD-1102-20_Texas_2023/06/21,Keel,Concurred with majority opinion.,concur
81,PD-1102-20_Texas_2023/06/21,Slaughter,Concurred with majority opinion.,concur
82,PD-1102-20_Texas_2023/06/21,McClure,Concurred with majority opinion.,concur
83,PD-1102-20_Texas_2023/06/21,Yeary,Concurred with majority opinion.,concur
84,21-1037_Texas_2023/04/21,Jane N. Bland,"Concurred, argued that the City's primacy clause imposing a higher voting threshold for charter amendments violates state law and that voter-approved amendments must take effect upon official declaration.",concur
85,21-0518_Texas_2023/03/31,Jane N. Bland,"Concurred, argued that Chapter 174's judicial enforcement provisions provide reasonable standards and do not violate separation of powers or governmental immunity, and that Chapter 174 preempts the local pay-parity amendment because it establishes an inconsistent compensation measurement.",concur
86,21-0518_Texas_2023/03/31,Justice Huddle,Did not participate in the decision.,other
87,21-0518_Texas_2023/03/31,Justice Young,Did not participate in the decision.,other
88,21-1039_Texas_2023/02/24,Jane N. Bland,"Concurred, argued that the challenged statements are constitutionally protected opinions about abortion law, made in pursuit of changing that law, and do not constitute defamation.",concur
89,21-1039_Texas_2023/02/24,John P. Devine,"Concurred, argued that the lawsuits were meritless attempts to silence political adversaries, and emphasized that Texas laws criminalizing abortion remained on the books even when Roe v. Wade declared them unconstitutional, and are now enforceable post-Dobbs.",concur
90,21-1039_Texas_2023/02/24,Jimmy Blacklock,Concurred with majority opinion.,concur
91,20-0923_Texas_2023/02/17,J. Brett Busby,"Concurred, argued that Chapter 33 mandates a credit for the daughter's settlement and that the TMLA requires periodic payments for future medical expenses, concluding these actions do not violate the Open Courts provision.",concur
92,20-0923_Texas_2023/02/17,Chief Justice Marion,"Dissented, disagreed with the majority's conclusion on the settlement credit, although agreeing its application would not violate the Open Courts provision.",dissent
93,20-0923_Texas_2023/02/17,Justice Alvarez,"Dissented, disagreed with the majority's conclusion on the settlement credit, although agreeing its application would not violate the Open Courts provision.",dissent
94,"21-0130,-21-0133_Texas_2022/11/18",Justice Blacklock,Did not participate in this decision.,other
95,"21-0130,-21-0133_Texas_2022/11/18",Justice Young,Did not participate in this decision.,other
96,"21-0130,-21-0133_Texas_2022/11/18",Chief Justice Bonnie Sudderth,Did not participate in this decision regarding Respondents' objections to their appointment.,other
97,"21-0130,-21-0133_Texas_2022/11/18",Justice Jaime Tijerina,Did not participate in this decision regarding Respondents' objections to their appointment.,other
98,21-0547_Texas_2022/09/02,John P. Devine,"Dissented, argued that the Court's denial of review unconstitutionally denied Dr. Nath his fundamental right to a jury trial on the attorney's fees sanctions, which is a core constitutional safeguard.",dissent
99,21-0547_Texas_2022/09/02,Busby,"Dissented, arguing that the Court's denial of review unconstitutionally denied Dr. Nath his fundamental right to a jury trial on the attorney's fees sanctions, which is a core constitutional safeguard.",dissent
100,21-1045_Texas_2022/06/24,Justice Boyd,"Concurred, argued that the due-course clause does not protect the interest in manufacturing smokable hemp products because it is neither a liberty interest nor a vested property right given the long history of prohibition.",concur
101,21-1045_Texas_2022/06/24,Justice Young,"Concurred, argued that the statute is valid under any applicable due-course clause standard and emphasized the need for the court to clarify the clause's scope in future cases.",concur
102,21-1045_Texas_2022/06/24,Chief Justice Hecht,Concurred with Justice Young's opinion.,concur
103,21-1045_Texas_2022/06/24,Justice Devine,Concurred with Justice Young's opinion.,concur
104,21-1045_Texas_2022/06/24,Justice Blacklock,Concurred with Justice Young's opinion.,concur
105,22-0008_Texas_2022/06/24,Debra H. Lehrmann,"Concurred, argued that MALC lacked associational standing and Gutierrez Plaintiffs' Section 28 claim was facially invalid and barred by sovereign immunity, but their Section 26 claim was not facially invalid and could proceed after repleading against a proper defendant.",concur
106,22-0008_Texas_2022/06/24,Nathan L. Hecht,"Dissented, argued that the case was moot or not ripe, and the majority opinion was an improper advisory opinion.",dissent
107,22-0008_Texas_2022/06/24,Boyd,"Dissented, argued that the case was moot or not ripe, and the majority opinion was an improper advisory opinion.",dissent
108,22-0008_Texas_2022/06/24,Blacklock,"Dissented, argued that the case was moot or not ripe, and the majority opinion was an improper advisory opinion.",dissent
109,21-1088_Texas_2022/06/03,Rebeca A. Huddle,"Concurred, argued that Survitec had no reasonable expectation to continue an at-will agreement indefinitely and had sufficient time to adapt to the Act's requirements before its effective date.",concur
110,20-0309_Texas_2022/05/13,Jane N. Bland,"Concurred, argued that the City's utility enforcement actions did not establish a regulatory taking of private property as a matter of law.",concur
111,20-0309_Texas_2022/05/13,Justice Young,"Concurred, argued that no federally cognizable taking occurred under the Fifth Amendment, while also noting that the Texas Takings Clause is broader but was not adequately briefed.",concur
112,20-0309_Texas_2022/05/13,Justice Lehrmann,Concurred with majority opinion and Justice Young's concurring opinion.,concur
113,20-0309_Texas_2022/05/13,Justice Blacklock,Concurred with majority opinion and Justice Young's concurring opinion.,concur
114,20-0309_Texas_2022/05/13,Justice Busby,Concurred with majority opinion and Justice Young's concurring opinion.,concur
115,"PD-1032-20,-PD-1033-20_Texas_2022/09/28","Yeary, J.","Dissented, argued that the Court's denial of rehearing was flawed because the original opinion erred in dismissing the indictment, Stephens lacked standing to challenge the AG's representation, and the Court failed to adequately consider the executive nature of prosecutorial power and other constitutional provisions that could authorize the AG's role in election law prosecution, and relied on a false premise.",dissent
116,21-0667_Texas_2021/08/17,Justice Blacklock,"Concurred, argued that the Texas Constitution's plain text, historical understanding, and judicial precedent (including Kilbourn v. Thompson) confirm the House's authority to physically compel absent members' attendance to achieve a quorum, and the district court abused its discretion by issuing an ex parte TRO.",concur
117,19-0962_Texas_2021/06/11,Justice Busby,"Concurred, argued that the Constitution requires actual public ownership for tax exemptions, which Odyssey does not have, and that statutory recharacterization is insufficient.",concur
118,19-0962_Texas_2021/06/11,Justice Lehrmann,Concurred with majority opinion.,concur
119,19-0962_Texas_2021/06/11,Justice Boyd,Concurred with majority opinion.,concur
120,19-0962_Texas_2021/06/11,Justice Devine,Concurred with majority opinion.,concur
121,19-0962_Texas_2021/06/11,Justice Blacklock,Concurred with majority opinion.,concur
122,19-0962_Texas_2021/06/11,Justice Bland,Concurred with majority opinion.,concur
123,19-0962_Texas_2021/06/11,Justice Guzman,"Dissented, argued that Article XI of the Texas Constitution provides an exemption for property ""devoted exclusively to the use and benefit of the public,"" which the charter school's campus satisfies, regardless of fee ownership.",dissent
124,19-0962_Texas_2021/06/11,Chief Justice Hecht,Dissented with majority opinion.,dissent
125,19-0962_Texas_2021/06/11,Justice Huddle,Dissented with majority opinion.,dissent
126,19-0440_Texas_2021/04/16,Justice Busby,"Concurred, argued that academic dismissal for poor performance does not carry sufficient stigma to implicate a protected liberty interest, and that the university provided adequate procedural due course of law.",concur
127,19-0440_Texas_2021/04/16,Justice Massengale,"Concurred with the judgment based on precedent, but questioned whether Texas courts should interpret the Constitution to protect a liberty interest in a student's reputation associated with the pursuit of graduate education.",concur
128,19-0767_Texas_2021/04/16,Chief Justice Hecht,"Concurred, argued that civil courts have jurisdiction over preemption claims even when local ordinances carry criminal penalties, and that TPGA has standing to bring its singular preemption claim.",concur
129,19-0767_Texas_2021/04/16,Justice Guzman,Concurred with majority opinion.,concur
130,19-0767_Texas_2021/04/16,Justice Lehrmann,Concurred with majority opinion.,concur
131,19-0767_Texas_2021/04/16,Justice Devine,Concurred with majority opinion.,concur
132,19-0767_Texas_2021/04/16,Justice Busby,Concurred with majority opinion.,concur
133,19-0767_Texas_2021/04/16,Justice Bland,Concurred with majority opinion.,concur
134,19-0767_Texas_2021/04/16,Justice Huddle,Concurred with majority opinion.,concur
135,19-0767_Texas_2021/04/16,Justice Blacklock,"Concurred in part and dissented in part, argued that while TPGA adequately pleaded injury for some regulations, it lacked standing for an omnibus challenge to all regulations without showing injury for each specific provision.",other
136,19-0767_Texas_2021/04/16,Justice Boyd,"Concurred in part and dissented in part, agreeing with Justice Blacklock's opinion regarding TPGA's standing.",other
137,"PD-0856-19,-PD-0857-19_Texas_2021/03/31",P.J. Keller,"Concurred, argued that an appeal suspends the obligation to pay court costs, making the assessment of the time payment fee premature.",concur
138,"PD-0856-19,-PD-0857-19_Texas_2021/03/31",Hervey,Concurred with majority opinion.,concur
139,"PD-0856-19,-PD-0857-19_Texas_2021/03/31",Richardson,Concurred with majority opinion.,concur
140,"PD-0856-19,-PD-0857-19_Texas_2021/03/31",Newell,Concurred with majority opinion.,concur
141,"PD-0856-19,-PD-0857-19_Texas_2021/03/31",Walker,Concurred with majority opinion.,concur
142,"PD-0856-19,-PD-0857-19_Texas_2021/03/31",Yeary,"Dissented, argued that the time payment fee is a legitimate court cost and previous rulings (*Peraza*, *Salinas*) on separation of powers were incorrect.",dissent
143,"PD-0856-19,-PD-0857-19_Texas_2021/03/31",Keel,Dissented with majority opinion.,dissent
144,"PD-0856-19,-PD-0857-19_Texas_2021/03/31",Slaughter,Dissented with majority opinion.,dissent
145,"PD-0856-19,-PD-0857-19_Texas_2021/03/31",McClure,Dissented with majority opinion.,dissent
0,2024AP000126_Wisconsin_2026/04/10,Jill J. Karofsky,"Concurred, argued that the legislature's power to alter or suspend common law causes of action means that the right to a jury trial does not attach when such causes of action are abrogated, thus § 895.4801 does not violate the constitutional jury trial right.",concur
1,2022AP959-CR_Wisconsin_2025/06/27,Rebecca Grassl Bradley,"Concurred, argued that Ramirez's speedy trial right was not violated because the lengthy delay was mainly due to neutral reasons, Ramirez asserted his right late, and he failed to show specific prejudice, also overruling the 'cavalier disregard' standard for delay attribution.",concur
2,2022AP959-CR_Wisconsin_2025/06/27,Ziegler,Concurred with majority opinion.,concur
3,2022AP959-CR_Wisconsin_2025/06/27,Dallet,"Concurred, but did not join specific paragraphs of the majority opinion due to their adversarial tone.",concur
4,2022AP959-CR_Wisconsin_2025/06/27,Hagedorn,Concurred with majority opinion.,concur
5,2022AP959-CR_Wisconsin_2025/06/27,Karofsky,"Concurred, emphasizing the importance of balancing victims' rights alongside those of the State and defendants in speedy trial cases.",concur
6,2022AP959-CR_Wisconsin_2025/06/27,Ann Walsh Bradley,"Concurred, but argued the majority's analytical shortcut creates an overly exacting standard for defendants to prove speedy trial violations, giving too much weight to the defendant's delay in asserting their right and too little to the accumulation of neutral delays attributable to the State.",concur
7,2022AP959-CR_Wisconsin_2025/06/27,Janet C. Protasiewicz,Concurred with Chief Justice Ann Walsh Bradley's opinion.,concur
8,2024AP1713_Wisconsin_2025/06/25,Rebecca Grassl Bradley,"Concurred, argued that the governor exceeded constitutional boundaries by partially vetoing a non-appropriation bill and that the legislature's appropriation of funds to JCF, not DPI, was proper.",concur
9,2022AP790_Wisconsin_2025/06/17,Brian Hagedorn,"Concurred, argued that the power to settle civil enforcement actions and cases brought at the request of executive-branch agencies falls within the core executive powers, and the legislative approval requirement unconstitutionally violates the separation of powers.",concur
10,2024AP330-OA_Wisconsin_2025/07/02,Annette Kingsland Ziegler,"Concurred, arguing that the case did not belong before the court and the initial petition should not have been granted, but that the court's role is to decide important legal matters.",concur
11,2024AP330-OA_Wisconsin_2025/07/02,Ann Walsh Bradley,Concurred with majority opinion.,concur
12,2024AP330-OA_Wisconsin_2025/07/02,Rebecca Frank Dallet,Concurred with majority opinion.,concur
13,2024AP330-OA_Wisconsin_2025/07/02,Janet C. Protasiewicz,Concurred with majority opinion.,concur
14,2024AP330-OA_Wisconsin_2025/07/02,Rebecca Grassl Bradley,"Dissented from the court's initial decision to grant the original action petition, arguing it was an improper exercise of political power and should not have been decided.",dissent
15,2024AP330-OA_Wisconsin_2025/07/02,Brian Hagedorn,"Dissented from the court's initial decision to grant the original action petition, arguing the court's actions were perplexing, outcome-oriented, and bypassed normal litigation.",dissent
16,2023AP002362_Wisconsin_2025/07/02,Rebecca Frank Dallet,"Concurred, delivering the majority opinion which held that comprehensive legislation enacted over 50 years impliedly repealed the 19th-century near-total abortion ban in Wisconsin.",concur
17,2023AP002362_Wisconsin_2025/07/02,Jill J. Karofsky,"Concurred, emphasizing the severe and deadly consequences of abortion restrictions, advocating for the protection of women's health and well-being, and asserting the majority's decision shielded women from such consequences.",concur
18,2023AP002362_Wisconsin_2025/07/02,Ann Walsh Bradley,Concurred with majority opinion.,concur
19,2023AP002362_Wisconsin_2025/07/02,Janet Protasiewicz,Concurred with majority opinion.,concur
20,2023AP002362_Wisconsin_2025/07/02,Annette Kingsland Ziegler,"Dissented, arguing the majority's decision was an exercise of judicial will that usurped the legislature's role, applied a flawed interpretation of implied repeal, and allowed personal preferences to override legal analysis, thereby undermining the constitutional order.",dissent
21,2023AP002362_Wisconsin_2025/07/02,Rebecca Grassl Bradley,"Dissented, arguing the majority engaged in judicial activism by erasing a disliked law, distorting history, and undermining democratic principles, and also joined Justice Hagedorn's dissent.",dissent
22,2023AP002362_Wisconsin_2025/07/02,Brian K. Hagedorn,"Dissented, arguing the court unconstitutionally deleted a duly enacted law by misapplying the implied repeal doctrine, ignoring clear legislative intent to preserve the statute, and engaging in judicial policymaking.",dissent
23,2023AP002020---OA_Wisconsin_2025/07/08,Jill J. Karofsky,"Concurred, argued that JCRAR's statutes violate bicameralism and presentment by altering legal rights and duties outside the legislative branch without proper lawmaking procedures.",concur
24,2023AP002020---OA_Wisconsin_2025/07/08,Ann Walsh Bradley,Concurred with majority opinion.,concur
25,2023AP002020---OA_Wisconsin_2025/07/08,Rebecca Frank Dallet,Concurred with majority opinion.,concur
26,2023AP002020---OA_Wisconsin_2025/07/08,Anthony O. Protasiewicz,Concurred with majority opinion.,concur
27,2023AP002020---OA_Wisconsin_2025/07/08,Brian K. Hagedorn,"Concurred in part and dissented in part, argued that JCRAR's indefinite objection to the commercial building code rule was unconstitutional based on existing precedent, but dissented from the broad facial ruling as an overreach based on deficient arguments and creating more questions than answers.",other
28,2023AP002020---OA_Wisconsin_2025/07/08,Annette Kingsland Ziegler,"Dissented, argued that the majority's decision unbalances state government, overrules decades of precedent without textual analysis of the Wisconsin Constitution, and inconsistently applies constitutional principles, empowering the executive branch at the expense of the legislative.",dissent
29,2023AP002020---OA_Wisconsin_2025/07/08,Rebecca Grassl Bradley,"Dissented, argued the majority's decision transfers power from elected representatives to unelected bureaucrats, undermines the nondelegation principle, and ignores the Wisconsin Constitution's text, thereby diminishing the People's liberty and sovereignty.",dissent
30,24AP729-OA_Wisconsin_2025/04/18,Jill J. Karofsky,"Concurred, arguing that the governor's partial vetoes were constitutional, satisfying all four deletion-veto principles, and that striking digits to create new numbers does not violate the constitution's prohibition against creating new words from letters.",concur
31,24AP729-OA_Wisconsin_2025/04/18,Ann Walsh Bradley,Concurred with majority opinion.,concur
32,24AP729-OA_Wisconsin_2025/04/18,Rebecca Frank Dallet,"Concurred, arguing that the petitioners' substantive-part analysis, which claims the vetoed result must be ""less than"" the original, is incompatible with prior case law and should be rejected, thus upholding the vetoes as consistent with precedent.",concur
33,24AP729-OA_Wisconsin_2025/04/18,Janet C. Protasiewicz,Concurred with majority opinion.,concur
34,24AP729-OA_Wisconsin_2025/04/18,Brian Hagedorn,"Dissented, arguing that the governor's partial veto power was abused to unilaterally create new law, transforming a two-year tax increase into a 400-year one, which is repugnant to the constitutional structure and legislative lawmaking authority.",dissent
35,24AP729-OA_Wisconsin_2025/04/18,Annette Kingsland Ziegler,Dissented with majority opinion.,dissent
36,24AP729-OA_Wisconsin_2025/04/18,Rebecca Grassl Bradley,Dissented with majority opinion.,dissent
37,2024AP000232_Wisconsin_2025/02/18,Jill J. Karofsky,"Concurred, argued that Kenneth Brown lacked standing because he did not suffer a legally recognized personal injury from the WEC's decision, as required to be ""aggrieved"" under state law.",concur
38,2024AP000232_Wisconsin_2025/02/18,Ann Walsh Bradley,Concurred with the majority opinion.,concur
39,2024AP000232_Wisconsin_2025/02/18,Dallet,Concurred with the majority opinion.,concur
40,2024AP000232_Wisconsin_2025/02/18,Protasiewicz,Concurred with the majority opinion.,concur
41,2024AP000232_Wisconsin_2025/02/18,Annette Kingsland Ziegler,"Dissented, argued that Brown had standing because he possesses a legal right to ensure local election officials comply with the law, and the alleged failure to conduct elections lawfully harmed that right.",dissent
42,2024AP000232_Wisconsin_2025/02/18,Rebecca Grassl Bradley,"Dissented, argued that the majority misinterprets the term ""aggrieved"" by not recognizing that a complainant who loses before WEC in an election matter has a statutory right to judicial review.",dissent
43,2024AP000232_Wisconsin_2025/02/18,Brian Hagedorn,"Dissented, argued that the legislature conferred a legal right upon voters to ensure local election officials comply with election laws, which should grant standing for judicial review.",dissent
44,2020AP1876-CR_Wisconsin_2024/03/18,Annette Kingsland Ziegler,"Concurred, argued the prosecutor's statements describing the State's evidence as ""uncontroverted"" were not comments on the defendant's silence but rather directed the jury to consider only the evidence presented at trial, thus not violating Fifth Amendment rights.",concur
45,2020AP1876-CR_Wisconsin_2024/03/18,Patience Drake Roggensack,Concurred with majority opinion.,concur
46,2020AP1876-CR_Wisconsin_2024/03/18,Rebecca Grassl Bradley,Concurred with majority opinion and with Justice Hagedorn's separate concurrence.,concur
47,2020AP1876-CR_Wisconsin_2024/03/18,Brian Hagedorn,"Concurred, argued the majority's faithful application of existing Supreme Court precedent and the Fifth Amendment's original meaning support the decision not to further extend the prohibition against prosecutor comments on a defendant's silence.",concur
48,2020AP1876-CR_Wisconsin_2024/03/18,Karofsky,Concurred with majority opinion.,concur
49,2020AP1876-CR_Wisconsin_2024/03/18,Rebecca Frank Dallet,"Dissented, argued the prosecutor's repeated characterization of evidence as ""uncontroverted"" where only the defendant could rebut it, constituted an indirect comment on the defendant's decision not to testify, violating Fifth Amendment rights.",dissent
50,2020AP1876-CR_Wisconsin_2024/03/18,Ann Walsh Bradley,Dissented with Justice Dallet's opinion.,dissent
51,2024AP164_Wisconsin_2024/07/05,Ann Walsh Bradley,"Concurred, arguing that Wis. Stat. § 6.87(4)(b)1 allows the use of ballot drop boxes and that the previous Teigen ruling was unsound in principle and should be overruled.",concur
52,2024AP164_Wisconsin_2024/07/05,Dallet,Concurred with majority opinion.,concur
53,2024AP164_Wisconsin_2024/07/05,Karofsky,Concurred with majority opinion.,concur
54,2024AP164_Wisconsin_2024/07/05,Protasiewicz,Concurred with majority opinion.,concur
55,2024AP164_Wisconsin_2024/07/05,Rebecca Grassl Bradley,"Dissented, arguing that the majority abused the rule of law by overturning Teigen and replaced a reasonable interpretation of the law with a politically motivated decision.",dissent
56,2024AP164_Wisconsin_2024/07/05,Annette Kingsland Ziegler,Dissented with minority opinion.,dissent
57,2024AP164_Wisconsin_2024/07/05,Brian Hagedorn,Dissented with minority opinion.,dissent
58,2020AP2007_Wisconsin_2024/03/14,Ann Walsh Bradley,"Concurred, argued that both the motivations and activities of an organization must be examined to determine if it is operated primarily for religious purposes, and found that CCB's activities were primarily charitable and secular, not religious.",concur
59,2020AP2007_Wisconsin_2024/03/14,Dallet,Concurred with majority opinion.,concur
60,2020AP2007_Wisconsin_2024/03/14,Karofsky,Concurred with majority opinion.,concur
61,2020AP2007_Wisconsin_2024/03/14,Protasiewicz,Concurred with majority opinion.,concur
62,2020AP2007_Wisconsin_2024/03/14,Rebecca Grassl Bradley,"Dissented, argued that the majority misinterprets the statute by adding an ""activities"" requirement, resulting in unconstitutional religious discrimination, excessive government entanglement in religious affairs, and a violation of the Free Exercise Clause.",dissent
63,2020AP2007_Wisconsin_2024/03/14,Annette Kingsland Ziegler,"Dissented, argued that the majority misinterprets the statute, leading to unconstitutional religious discrimination and excessive government entanglement.",dissent
64,2020AP2007_Wisconsin_2024/03/14,Brian Hagedorn,"Dissented, agreed with the statutory construction in Justice Rebecca Grassl Bradley's dissent and the critique of the majority's reliance on the remedial statute canon, but did not reach constitutional questions.",dissent
65,2022AP1233_Wisconsin_2023/06/29,Rebecca Grassl Bradley,"Concurred with the majority opinion, affirming that the Transportation Utility Fee is a property tax subject to municipal levy limits, and further argued that the court should have also addressed the plaintiff's Uniformity Clause claim and that the fee violates the Uniformity Clause.",concur
66,2022AP1233_Wisconsin_2023/06/29,Patience Drake Roggensack,"Concurred with the majority opinion and joined Judge Bradley's concurring opinion, agreeing that the court should have addressed the Uniformity Clause claim and that the fee violates it.",concur
67,2022AP91_Wisconsin_2022/07/08,Rebecca Grassl Bradley,"Concurred, arguing that WEC's memos authorizing ballot drop boxes and agent delivery of absentee ballots are unlawful because they conflict with Wisconsin statutes requiring personal delivery or mailing by the elector to the municipal clerk's office or a designated alternate site. She also argued that WEC's memos should have been formally promulgated as administrative rules.",concur
68,2022AP91_Wisconsin_2022/07/08,Annette Kingsland Ziegler,Concurred with majority opinion and Justice Rebecca Grassl Bradley's concurring opinion.,concur
69,2022AP91_Wisconsin_2022/07/08,Patience Drake Roggensack,"Concurred, arguing that only the elector shall mail the absentee ballot to the municipal clerk, emphasizing the personal nature of ballot return.",concur
70,2022AP91_Wisconsin_2022/07/08,Brian Hagedorn,"Concurred, finding that WEC's memos are invalid because unstaffed drop boxes are not permitted and personal delivery requires a person-to-person exchange with the municipal clerk or an authorized representative at the clerk's office or designated alternate site. He disagreed with the majority's standing analysis, but found Teigen had standing based on Wis. Stat. § 5.06.",concur
71,2022AP91_Wisconsin_2022/07/08,Ann Walsh Bradley,"Dissented, arguing that the majority's decision creates an unnecessary barrier to voting, especially for rural and disabled voters, by prohibiting drop boxes and agent delivery, and that the majority's statutory interpretation is flawed and sows distrust in elections.",dissent
72,2022AP91_Wisconsin_2022/07/08,Rebecca Frank Dallet,Dissented with Justice Ann Walsh Bradley's dissenting opinion.,dissent
73,2022AP91_Wisconsin_2022/07/08,Jill J. Karofsky,Dissented with Justice Ann Walsh Bradley's dissenting opinion.,dissent
74,2023-AP-001399_Wisconsin_2023/12/22,Jill J. Karofsky,"Concurred and delivered the majority opinion, holding that legislative districts must be physically contiguous and that current maps violate this, while also stating the ""least change"" approach is unworkable and overruling previous applications of it.",concur
75,2023-AP-001399_Wisconsin_2023/12/22,Ann Walsh Bradley,Concurred with the majority opinion.,concur
76,2023-AP-001399_Wisconsin_2023/12/22,Dallet,Concurred with the majority opinion.,concur
77,2023-AP-001399_Wisconsin_2023/12/22,Protasiewicz,Concurred with the majority opinion.,concur
78,2023-AP-001399_Wisconsin_2023/12/22,Annette Kingsland Ziegler,"Dissented, arguing that the majority's decision is judicial activism, improperly overrules recent precedent on redistricting, and misapplies legal doctrines like stare decisis, judicial estoppel, and laches due to political motivations.",dissent
79,2023-AP-001399_Wisconsin_2023/12/22,Rebecca Grassl Bradley,"Dissented, arguing that the majority's decision is a partisan power grab that disregards established legal precedent and procedures, and that the current maps were previously deemed contiguous by the court.",dissent
80,2023-AP-001399_Wisconsin_2023/12/22,Brian Hagedorn,"Dissented, arguing that the court's decision is politically motivated, improperly overturns a resolved issue, and abandons established legal principles like finality in litigation, standing, and stare decisis.",dissent
81,2021AP1450-OA_Wisconsin_2024/03/01,Janet C. Protasiewicz,Did not participate in the decision.,other
82,2021AP1450-OA_Wisconsin_2024/03/01,Rebecca Grassl Bradley,"Concurred, argued that while the denial of the motion was correct, the court's new majority has abandoned precedent and uses its power for partisan agendas, harming the court's independence and integrity regarding redistricting cases.",concur
83,2021AP1450-OA_Wisconsin_2024/03/01,Annette Kingsland Ziegler,"Concurred, agreeing with Justice Bradley's opinion that while the denial of the motion was correct, the court's new majority has abandoned precedent and used its power for partisan agendas, harming the court's independence and integrity.",concur
84,2019AP664-CR_Wisconsin_2023/05/16,Rebecca Frank Dallet,"Concurred, arguing that Shiffra was unsound in principle, unworkable in practice, and detrimental to the coherence of the law, warranting its overruling.",concur
85,2019AP664-CR_Wisconsin_2023/05/16,Janice S. Roggensack,Concurred with majority opinion.,concur
86,2019AP664-CR_Wisconsin_2023/05/16,Brian Hagedorn,Concurred with majority opinion.,concur
87,2019AP664-CR_Wisconsin_2023/05/16,Jill J. Karofsky,"Concurred, arguing that Shiffra created an unworkable dilemma for victims by compromising their privacy and undermining the therapist-patient relationship.",concur
88,2019AP664-CR_Wisconsin_2023/05/16,Rebecca Grassl Bradley,"Concurred, arguing that Shiffra objectively misinterpreted federal due process rights and usurped legislative power, criticizing the majority's use of public policy arguments as a basis for overturning precedent.",concur
89,2019AP664-CR_Wisconsin_2023/05/16,Ann Walsh Bradley,"Dissented, arguing that Shiffra provided a workable and well-established procedure for balancing defendants' and victims' rights, and the majority wrongly disregarded stare decisis and misapplied its factors.",dissent
90,2019AP664-CR_Wisconsin_2023/05/16,Annette Kingsland Ziegler,"Dissented, arguing that Shiffra provided a workable and well-established procedure for balancing defendants' and victims' rights, and the majority wrongly disregarded stare decisis and misapplied its factors.",dissent
91,2020AP2003_Wisconsin_2023/05/16,Brian Hagedorn,"Concurred, argued that Marsy's Law was validly ratified as the ballot question was not fundamentally counterfactual and involved a single general purpose, and separately argued for re-embracing the distinction between binding precedent and non-binding dicta.",concur
92,2020AP2003_Wisconsin_2023/05/16,Rebecca Grassl Bradley,"Concurred, argued that the ""every essential"" test is incompatible with the political question doctrine and that judicial power does not extend to all constitutional questions.",concur
93,2020AP2003_Wisconsin_2023/05/16,Annette Kingsland Ziegler,"Concurred, joined Justice Rebecca Grassl Bradley's concurrence.",concur
94,2020AP2003_Wisconsin_2023/05/16,Patience Drake Roggensack,"Concurred, joined Justice Rebecca Grassl Bradley's concurrence.",concur
95,2020AP2003_Wisconsin_2023/05/16,Rebecca Frank Dallet,"Concurred, argued that Marsy's Law was validly adopted but criticized the majority's narrow interpretation of ""submitted to the people"" and its originalist methodology, advocating for a test requiring ballot questions to accurately summarize significant changes.",concur
96,2020AP2003_Wisconsin_2023/05/16,Jill J. Karofsky,"Concurred, joined Justice Rebecca Frank Dallet's concurrence.",concur
97,2020AP2003_Wisconsin_2023/05/16,Ann Walsh Bradley,"Dissented, argued the majority wrongly dismissed the established ""every essential"" test from Ekern and that the ballot question failed to inform voters about the diminution of criminal defendants' rights, thereby undermining democracy.",dissent
98,"2021AP1343,-2021AP1382_Wisconsin_2023/05/02",Brian Hagedorn,"Concurred, argued that the motion for reconsideration did not meet the court's standards and defended his original 'text-and-history' approach to nondelegation as valid, noting petitioners failed to present an originalist case.",concur
99,"2021AP1343,-2021AP1382_Wisconsin_2023/05/02",Rebecca Grassl Bradley,"Dissented, argued that the majority's denial of reconsideration perpetuated errors in statutory interpretation, undermined the constitutional separation of powers, and allowed unelected bureaucrats to exercise legislative authority, thus eroding democratic norms.",dissent
100,"2021AP1343,-2021AP1382_Wisconsin_2023/05/02",Annette Kingsland Ziegler,"Dissented, argued that the majority erred in its interpretation, joining Justice Bradley's dissent.",dissent
101,"2021AP1343,-2021AP1382_Wisconsin_2023/05/02",Patience Drake Roggensack,"Dissented, argued that the majority erred in its interpretation, joining Justice Bradley's dissent.",dissent
102,2019AP2184-CR_Wisconsin_2022/11/23,Annette Kingsland Ziegler,"Concurred, argued that the affidavit fulfilled the oath or affirmation requirement because the officer's actions and the document's language sufficiently demonstrated an obligation to tell the truth, prioritizing substance over form.",concur
103,2019AP2184-CR_Wisconsin_2022/11/23,Patience Roggensack,Concurred with majority opinion.,concur
104,2019AP2184-CR_Wisconsin_2022/11/23,Rebecca Grassl Bradley,Concurred with majority opinion.,concur
105,2019AP2184-CR_Wisconsin_2022/11/23,Brian Hagedorn,"Concurred, argued that the Fourth Amendment requirement for an oath or affirmation was met as the affiant made a statement affirming truth under circumstances that impressed a solemn obligation, though it was a close call.",concur
106,2019AP2184-CR_Wisconsin_2022/11/23,Jill J. Karofsky,"Concurred, argued that the Fourth Amendment requirement for an oath or affirmation was met as the affiant made a statement affirming truth under circumstances that impressed a solemn obligation, though it was a close call.",concur
