,case_id,docket_no,title,state,date,type,description,plaintiff_argument,defendant_argument,decision_outcome,decision_winner,environment,consumers,reproductive_rights,democratic_norms,free_press,public_health,separation_church_state,voting_access,public_education,free_speech,privacy,worker_rights
5,23-0703_Texas_2025/06/27,23-0703,Southern Methodist University v. South Central Jurisdictional Conference of the United Methodist Church,Texas,2025/06/27,Speech and Religion,Whether SMU could lawfully amend its articles of incorporation to remove the South Central Jurisdictional Conference's authority without the Conference's affirmative consent.,"The South Central Jurisdictional Conference argued that SMU's articles of incorporation explicitly require their consent for any amendments, and SMU's unilateral attempt to eliminate their authority was unlawful.","Southern Methodist University argued that the case involves neutral principles of law for corporate governance, and that a general statutory limitation on lawsuits (Business Organizations Code § 20.002) forecloses the Conference's ability to challenge the amendments.","The court decided that the South Central Jurisdictional Conference is allowed to seek judicial interpretation regarding SMU's articles of incorporation and pursue its contract claim, thereby upholding the Conference's right to control SMU based on its articles of incorporation.",plaintiff,NA,NA,NA,NA,NA,NA,protected,NA,NA,protected,NA,NA
6,24-0573_Texas_2025/05/30,24-0573,Paxton v. Annunciation House,Texas,2025/05/30,Speech and Religion,"Whether the Attorney General has the constitutional and statutory authority to file a quo warranto action against Annunciation House for alleged alien harboring, and whether the records-request statute is facially unconstitutional or infringes on religious liberty or privacy rights, with the plaintiff (Annunciation House) arguing against such authority and constitutionality, and the defendant (Texas Attorney General) asserting it.","Annunciation House argued that the Attorney General's proposed quo warranto action was impermissible under RFRA, preempted by federal law, and based on unconstitutionally vague statutes, and that the records-request statute was facially unconstitutional under the First and Fourth Amendments.","The Attorney General argued he possessed constitutional authority to file quo warranto actions for corporate criminal acts, that RFRA arguments were premature, state statutes were not preempted or vague, and that the records-request statute was constitutional.","The Supreme Court of Texas reversed the trial court's judgment, vacated the injunction against records requests, and remanded the case for further proceedings, effectively allowing the Attorney General to proceed with his actions.",defendant,NA,NA,NA,NA,NA,NA,NA,NA,NA,infringed,protected,NA
7,23-0067_Texas_2025/05/02,23-0067,Stary v. Ethridge,Texas,2025/05/02,Civil Rights,"Whether constitutional due process requires clear and convincing evidence to support a protective order prohibiting all contact between a parent and her children for a period exceeding two years, where the plaintiff argues it is tantamount to parental rights termination and the defendant argues it is not.","The protective order prohibiting all contact with her children for her lifetime without clear and convincing evidence violated her constitutional right to due process, as it is tantamount to termination of her parental rights.","Protective orders of lengthy duration are not equivalent to termination of parental rights because parents retain ancillary rights and have opportunities for review, thus not requiring a heightened evidentiary burden.","The Supreme Court of Texas reversed the court of appeals' judgment and remanded the case, holding that due process requires clear and convincing evidence to support a protective order prohibiting parent-child contact for over two years and that the child's best interest must be considered.",plaintiff,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,protected,NA
8,23-0474_Texas_2025/03/21,23-0474,Commons of Lake Houston v. City of Houston,Texas,2025/03/21,Government Structure,"Whether a city's amended floodplain ordinance, adopted as a valid exercise of police power and to comply with a federal flood-insurance program, can cause a compensable regulatory taking of private property, with the plaintiff arguing it can and the defendant arguing it cannot.","The City's amended ordinance, which significantly increased elevation requirements in a floodplain, caused a regulatory taking of its property under the Texas Constitution by rendering many lots undevelopable and destroying expected profits.","The City's amended ordinance was a valid exercise of its police power to promote public health and safety and to comply with the federal National Flood Insurance Program, and therefore, it cannot constitute a compensable taking. The plaintiff's claim is also unripe and they lack standing.","The Supreme Court of Texas reversed the court of appeals' judgment, holding that a regulatory taking can occur even if an ordinance is a valid exercise of police power or complies with a federal program, and that the plaintiff's claim is ripe and they have standing. The case was remanded to the trial court for further proceedings.",plaintiff,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,24-0714_Texas_2025/06/13,24-0714,Perez v. City of San Antonio,Texas,2025/06/13,Speech and Religion,"Whether Article I, Section 6-a of the Texas Constitution imposes a categorical bar on any limitation of any religious service, regardless of the sort of limitation and the government's interest in that limitation.","The plaintiffs (Appellants) argued that Section 6-a of the Texas Constitution creates a categorical bar on any limitation of religious services, even prohibiting the City from attempting to satisfy strict scrutiny.","The defendant (City of San Antonio) implicitly argued that Section 6-a does not impose such a categorical bar and that the City can impose limitations on religious services, particularly those related to the preservation and maintenance of public lands.","The court decided that Article I, Section 6-a of the Texas Constitution does not impose a categorical bar on limitations of religious services that result from the government's preservation and maintenance of public lands, effectively rejecting the plaintiffs' broad interpretation.",defendant,NA,NA,NA,NA,NA,NA,NA,NA,NA,infringed,NA,NA
10,23-0767_Texas_2025/05/09,23-0767,Elliott v. City of College Station,Texas,2025/05/09,Judicial Interpretation,"Whether local regulation in an extraterritorial jurisdiction (ETJ) without a corresponding right to vote in local elections is incompatible with the Texas Constitution's ""republican form of government"" requirement, with plaintiffs asserting it is unconstitutional and defendants arguing it is a political question not for the courts.","Local regulation of ETJ residents without voting rights is facially unconstitutional under the Texas Constitution's ""republican form of government"" limitation, and the City's ordinances should be declared void and unenforceable.","The constitutional claim is nonjusticiable because the form of local government is a political question, and the plaintiffs lack standing and their claims are not ripe for adjudication.","The court vacated the lower court judgments and remanded the case to the trial court with instructions to abate proceedings, allowing the property owners a reasonable opportunity to complete the statutory opt-out process before judicial review of constitutional claims.",other,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,"PD-0522-21,-PD-0523-21,-PD-0524-21_Texas_2024/09/11","PD-0522-21,-PD-0523-21,-PD-0524-21",Ex parte Charette,Texas,2024/09/11,Criminal Law,"Whether the Texas Ethics Commission (TEC) has exclusive jurisdiction over alleged campaign-law violations, making prior TEC proceedings a jurisdictional prerequisite for criminal prosecution, with the plaintiff arguing that the TEC does, and the defendant arguing that district attorneys retain independent prosecutorial power without such a prerequisite.","The Texas Ethics Commission (TEC) has exclusive jurisdiction over campaign-law violations, and a prosecutor lacks authority to pursue criminal charges without prior TEC proceedings and referral, which constitutes a violation of due process and a lack of trial court subject matter jurisdiction.","The district court has original jurisdiction over misdemeanors, and district attorneys have constitutional authority to investigate and prosecute crimes independently; TEC proceedings are civil and not a jurisdictional prerequisite for criminal prosecution.","The court reversed the court of appeals' decision, ruling that the Texas Ethics Commission (TEC) has exclusive jurisdiction to make an initial determination regarding campaign-law violations, and therefore, the trial court lacked subject matter jurisdiction without prior TEC proceedings, ordering the dismissal of the indictments.",plaintiff,NA,NA,NA,protected,NA,NA,NA,protected,NA,protected,NA,NA
12,24-0426_Texas_2024/08/23,24-0426,In re Dallas County,Texas,2024/08/23,Judicial Selection and Administration,"Whether Senate Bill 1045, which creates the Fifteenth Court of Appeals with statewide jurisdiction and specifies the appointment process for its justices, is constitutional.","Dallas County argued that Senate Bill 1045 is unconstitutional because the Fifteenth Court's statewide geographic range, its subject-matter-based jurisdictional scope, and the appointment process for its initial justices violate the Texas Constitution, therefore the Third Court should retain jurisdiction.","HHSC argued that Dallas County lacked standing, the issue was not ripe, and that S.B. 1045 is constitutional, as the legislature has broad authority to create courts and define their jurisdiction, and the judge appointment process is valid.","The court denied Dallas County's requested relief, holding that Senate Bill 1045 is constitutional, meaning the appeal must be transferred to the Fifteenth Court of Appeals as scheduled.",defendant,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13,22-1149_Texas_2024/06/28,22-1149,Borgelt v. Austin Firefighters Association,Texas,2024/06/28,Economic and Labor Rights,"Whether Article 10 of the collective-bargaining agreement between the City of Austin and its firefighters, which grants ""Association Business Leave"" (paid time off for union activities), constitutes an unconstitutional ""gift"" of public resources to a private party under the Texas Constitution's Gift Clauses, with petitioners arguing it impermissibly benefits the union through misused leave for improper private and political purposes, and defendants arguing it is a negotiated benefit with legitimate public purposes and sufficient controls.","The petitioners argued that Article 10's ""Association Business Leave"" provision is an unconstitutional gift of public funds, alleging that the leave is routinely misused for private purposes, including political activities and fundraising, thereby impermissibly benefiting the Austin Firefighters Association rather than serving a legitimate public purpose.","The defendants argued that Article 10, as written and properly interpreted, imposes limits on the use of ""Association Business Leave"" that prevent improper uses, ensuring it serves a legitimate public purpose as a negotiated benefit within the collective-bargaining agreement and thus does not violate the Gift Clauses.","The court affirmed that Article 10 of the collective-bargaining agreement does not violate the Gift Clauses of the Texas Constitution when properly construed, but reversed the award of fees and sanctions against the petitioners under the Texas Citizens Participation Act.",defendant,NA,NA,NA,protected,NA,protected,NA,NA,NA,protected,NA,protected
14,24-0325_Texas_2024/06/14,24-0325,In re State,Texas,2024/06/14,Government Structure,"Whether Harris County's Uplift Harris program, which provides direct cash payments to individuals without specific public control or monitoring of expenditures, violates the Texas Constitution's prohibitions against gratuitous grants of public money for private purposes.","The State (Relator) argues that the Uplift Harris program likely violates the Texas Constitution by improperly granting public money to individuals without retaining public control, constituting irreparable harm that warrants a temporary stay.","Harris County argues that the Uplift Harris program is a constitutional exercise of its authority, potentially qualifying as either permissible under existing Gift Clauses or as an authorized 'economic development' program under Article III, Section 52-a of the Texas Constitution.","The court granted the State's motion for temporary relief, ordering Harris County to cease distributing funds under the Uplift Harris program until further order of the Court, citing serious constitutional doubts.",plaintiff,NA,NA,NA,protected,NA,NA,NA,NA,NA,NA,NA,NA
15,22-0585_Texas_2024/05/17,22-0585,Texas Department of Transportation v. Self,Texas,2024/05/17,Government Structure,Whether the Texas Department of Transportation (TxDOT) is immune from liability for negligence or inverse condemnation after its subcontractor cut down trees on private property outside the State's right-of-way easement.,"The Selfs argued that TxDOT was negligent because the subcontractor's employees were TxDOT employees or TxDOT employees operated the equipment, and that TxDOT was liable for inverse condemnation because it intentionally directed the destruction of trees on their property for public use.","TxDOT argued it was immune from the negligence claim as the subcontractor's employees were not its employees and its employees did not operate the equipment, and that it lacked the requisite intent for inverse condemnation, believing the trees were within its right-of-way.",The court dismissed the negligence cause of action against TxDOT but remanded the inverse condemnation cause of action to the trial court for further proceedings.,other,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16,23-0565_Texas_2024/04/26,23-0565,Hogan v. Southern Methodist University,Texas,2024/04/26,Torts and Liability,"Whether the application of the Pandemic Liability Protection Act to Hogan's breach-of-contract claim violates the retroactivity clause in article I, section 16 of the Texas Constitution, with Hogan arguing it does and SMU arguing it does not.","Hogan argued that the Pandemic Liability Protection Act (PLPA) retroactively withdrew his right to hold SMU liable for breaking its promise of in-person education, violating Article I, Section 16's prohibition on ""retroactive law[s]"" and impairing his pre-existing contract remedies, asserting he had a settled expectation of recovery for damages.","The defendants argued that the PLPA protects schools from monetary liability for altering activities in response to the pandemic, and its application does not violate the retroactivity clause because there was no ""settled expectation"" for Hogan to recover damages under the novel circumstances, and the common law impossibility doctrine would have limited SMU's liability anyway.","The court ruled that the application of the Pandemic Liability Protection Act to Hogan's breach-of-contract claim does not violate the retroactivity clause in article I, section 16 of the Texas Constitution.",defendant,NA,infringed,NA,protected,NA,NA,NA,NA,NA,NA,NA,NA
17,23-0697_Texas_2024/06/28,23-0697,Texas v. Loe,Texas,2024/06/28,Civil Rights,"Whether the Legislature's prohibition of certain medical treatments for children suffering from gender dysphoria violates the Texas Constitution by infringing upon parental rights, physicians' occupational freedom, and by discriminating against transgender adolescents.","The plaintiffs argue that Senate Bill 14 (S.B. 14) is unconstitutional as it infringes on parents' fundamental right to make medical decisions for their children, violates Texas physicians' right of occupational freedom, and discriminates against transgender adolescents based on sex, sex stereotypes, and transgender status.","The defendants argue that S.B. 14 is facially constitutional and that the plaintiffs' claims are invalid, asserting the Legislature's authority to regulate medical practice and protect children's health and welfare.","The court reversed the trial court's temporary injunction order, concluding that the plaintiffs failed to establish a probable right to relief on any of their three asserted constitutional violations.",defendant,NA,NA,NA,NA,NA,protected,NA,NA,NA,NA,infringed,infringed
18,22-0102_Texas_2024/03/15,22-0102,City of Dallas v. Employees Retirement Fund of City of Dallas,Texas,2024/03/15,Government Structure,"Whether a city ordinance can grant a third party, like the Employees' Retirement Fund board, a perpetual veto right over future lawmaking related to the fund, with the plaintiff (Fund) arguing it can due to trust law, and the defendant (City) arguing it cannot due to unconstitutional delegation of lawmaking authority.","The Employees' Retirement Fund (Fund) argued that Chapter 40A, which governs the Fund, is a 'trust document' and cannot be amended without the board's consent, relying on trust law principles to invalidate the City's term limits ordinance.","The City of Dallas (City) argued that the term limits ordinance amended Chapter 8, not Chapter 40A, and even if it did amend Chapter 40A, the board's veto power in § 40A-35(a) is unenforceable because it unconstitutionally delegates lawmaking authority.","The Supreme Court of Texas reversed the court of appeals' judgment, holding that the board's veto power is unenforceable as an unconstitutional delegation of legislative authority, and remanded the case for further proceedings on the necessity of voter approval for amendments.",defendant,NA,NA,NA,protected,NA,NA,NA,NA,NA,NA,NA,NA
19,PD-0280-22_Texas_2024/02/07,PD-0280-22,Becerra v. State,Texas,2024/02/07,Criminal Law,"Whether an alternate juror's presence and participation in jury deliberations, including voting, violates the constitutional right to a twelve-person jury or statutory prohibitions against unauthorized persons influencing deliberations, and if so, what standard for harm applies.","The plaintiff argued that the alternate juror's participation violated his constitutional right to a twelve-person jury and statutory provisions regarding external influence, therefore a new trial should be granted, or at least a presumption of harm should be applied.","The defendant argued that the alternate juror's presence did not violate jury composition rules, or if it did, the error was harmless, and any presumption of harm should be rebutted or not applied.","The court ruled that the alternate juror's presence did not violate constitutional jury composition requirements but did violate statutory prohibitions against unauthorized persons in deliberations, and remanded the case to the court of appeals to conduct a statutory harm analysis using a non-constitutional error standard.",other,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,infringed,NA
20,22-1145_Texas_2024/06/28,22-1145,Hensley v. State Commission on Judicial Conduct,Texas,2024/06/28,Speech and Religion,Whether Judge Dianne Hensley was required to exhaust her administrative remedies before suing the State Commission on Judicial Conduct for alleged violations of the Texas Religious Freedom Restoration Act.,"Judge Hensley argued she was not required to exhaust administrative remedies because the Special Court of Review (SCR) could not provide the specific relief she sought (damages, declaratory relief, injunction), and her suit was not a collateral attack on the warning.","The State Commission on Judicial Conduct argued that Judge Hensley was required to exhaust administrative remedies, asserting that it was a jurisdictional prerequisite and the administrative process could have potentially resolved or mooted her claims.",The court ruled that Judge Dianne Hensley was not required to exhaust her administrative remedies before filing her lawsuit against the State Commission on Judicial Conduct.,plaintiff,NA,NA,NA,NA,NA,NA,NA,NA,NA,protected,NA,NA
21,D-1-GN-23-000968_Texas_2024/05/31,D-1-GN-23-000968,Zurawski v. Texas,Texas,2024/05/31,Reproductive Rights,"Whether Texas's abortion laws, specifically the Human Life Protection Act, are constitutional and how they should be interpreted regarding life-saving abortions, with plaintiffs arguing for a broader interpretation to include ""unsafe pregnancies"" and ""fetal conditions unlikely to sustain life,"" and the state arguing the law permits abortions for life-threatening physical conditions based on reasonable medical judgment without requiring imminent death.","The plaintiffs argued that Texas's abortion laws were unclear and unconstitutional, requesting a broader interpretation to permit abortions for ""unsafe"" pregnancies, conditions untreatable during pregnancy, and fetal conditions where the child is unlikely to survive, fearing legal consequences for physicians.","The State argued that the Human Life Protection Act already permits life-saving abortions when a woman faces a life-threatening physical condition, that the law is constitutional, and that physicians can intervene before death or serious physical impairment are imminent.","The Supreme Court of Texas vacated the trial court's temporary injunction, ruling that the trial court's order incorrectly interpreted the Human Life Protection Act and lacked constitutional justification to depart from the law's text.",defendant,NA,NA,infringed,NA,NA,infringed,NA,NA,NA,NA,NA,NA
22,23-0656_Texas_2023/08/14,23-0656,Harris County v. Texas,Texas,2023/08/14,Voting Rights and Elections,"Whether Senate Bill 1750 (SB 1750) is an unconstitutional local law under the Texas Constitution, where the plaintiff argues it will cause imminent and irreparable harm to election administration if enforced, and the defendant argues it should be enforced.","Harris County argues that SB 1750 is an unconstitutional local law that, if implemented, would cause immense inefficiencies, disorganization, confusion, office instability, increased costs, and disrupt the upcoming November 2023 election, leading to irreparable injury.","The State of Texas, Angela Colmenero (Interim Attorney General), and Jane Nelson (Texas Secretary of State) implicitly argue for the constitutionality and enforcement of SB 1750.","The court granted Harris County's request for a temporary injunction, enjoining the State Officer Defendants from taking any actions to enforce SB 1750 and from refusing to recognize the Harris County Elections Administrator's Office.",plaintiff,NA,NA,NA,protected,NA,NA,NA,protected,NA,NA,NA,NA
23,PD-1102-20_Texas_2023/06/21,PD-1102-20,Ex parte Sheffield,Texas,2023/06/21,Criminal Law,"Whether speedy trial claims are cognizable in pretrial habeas corpus when a trial is indefinitely postponed, with the plaintiff arguing yes under the Ex parte Perry rule and the defendant arguing no, as it would undermine the right and other remedies exist.","Appellant Kevin Dale Sheffield argued that the indefinite delay in jury trials due to COVID-19 emergency orders violated his right to a speedy trial, and this claim was cognizable in pretrial habeas corpus under the Ex parte Perry rule because his right to a timely disposition would otherwise be undermined.","The State Prosecuting Attorney's Office (SPA) argued that speedy trial claims are not cognizable in pretrial habeas corpus, as allowing such claims through interlocutory appeal would inject appellate delay and undermine the speedy trial right; instead, mandamus or post-trial appeal are the proper remedies.","The Court of Criminal Appeals reversed the court of appeals' judgment, holding that speedy trial claims are not cognizable in pretrial habeas corpus and the Perry rule does not apply to such claims, because pretrial habeas would undermine, not vindicate, the speedy trial right.",defendant,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,21-1037_Texas_2023/04/21,21-1037,Hotze v. Turner,Texas,2023/04/21,Voting Rights and Elections,"Whether a city's ""primacy clause,"" which makes a citizen-initiated charter amendment ineffective unless it receives more votes than a council-initiated amendment, violates state law requiring charter amendments to be adopted by a simple majority vote and become effective upon declaration, and whether the two voter-approved amendments can be harmonized.","The plaintiff, Bruce R. Hotze, argued that the City's primacy clause violates state law (Tex. Loc. Gov't Code § 9.005(a)) by imposing a higher voting threshold for the citizen-initiated amendment (Proposition 2) to take effect, and that the City cannot indefinitely delay its effectiveness. He also argued that the two voter-approved amendments could be harmonized.","The defendants, Sylvester Turner, Mayor, and the City of Houston, argued that the primacy clause was valid and did not conflict with state law because state law only governs the adoption of amendments, not their effectiveness, which the City claims is within its discretion. They also contended that the two amendments irreconcilably conflicted, making Proposition 2 ineffective under the City's conflict-resolution provision.","The Texas Supreme Court reversed the court of appeals' judgment, ruling that the City's primacy clause is void for conflicting with state law that requires charter amendments to be adopted by a majority vote and take effect upon official declaration. The case was remanded to the trial court to determine how the two voter-approved amendments could be harmonized.",plaintiff,NA,NA,NA,protected,NA,NA,NA,protected,NA,NA,NA,NA
25,21-0518_Texas_2023/03/31,21-0518,City of Houston v. Houston Proffesional Fire Fighters Association,Texas,2023/03/31,Government Structure,"Whether Chapter 174's judicial-enforcement provisions violate the Texas Constitution's separation of powers and governmental immunity, and whether Chapter 174 preempts a local pay-parity amendment regarding firefighter compensation.","The Houston Professional Fire Fighters' Association argued that Chapter 174's judicial enforcement provisions are constitutional and waive governmental immunity, and that Chapter 174 does not preempt the local pay-parity amendment.","The City of Houston argued that Chapter 174's judicial enforcement provisions are unconstitutional, that it retains governmental immunity, and, joined by the Houston Police Officers' Union, that Chapter 174 does preempt the local pay-parity amendment.","The court affirmed that Chapter 174's judicial-enforcement provisions are constitutional and waive the City's governmental immunity, but reversed the lower court on the preemption issue, holding that Chapter 174 preempts the local pay-parity amendment.",other,NA,NA,NA,protected,NA,NA,NA,NA,NA,NA,NA,protected
26,21-1039_Texas_2023/02/24,21-1039,The Lilith Fund for Reproductive Equity v. Dickson,Texas,2023/02/24,Reproductive Rights,Whether statements made by an anti-abortion advocate characterizing abortion as murder and abortion providers as criminal organizations constitute legally defamatory falsehoods or protected free speech.,The plaintiffs argued that the defendant's statements were legally defamatory because they falsely characterized abortion as murder and labeled the plaintiffs as 'criminal organizations' when abortion was legal under Texas law at the time.,"The defendant argued that his statements were protected opinions about abortion law, made in pursuit of changing that law, and therefore constituted protected speech under the United States and Texas Constitutions, not defamation.","The court ruled that the challenged statements were protected opinion about abortion law and free speech, and therefore affirmed the dismissal of the defamation suit against the defendant.",defendant,NA,NA,infringed,protected,NA,NA,NA,NA,NA,protected,NA,NA
27,20-0923_Texas_2023/02/17,20-0923,Virlar v. Puente,Texas,2023/02/17,Torts and Liability,Whether Chapter 33 of the Civil Practice and Remedies Code requires a credit for a family member's settlement against a judgment and whether the Texas Medical Liability Act (TMLA) mandates periodic payments for future medical expenses.,"The plaintiff argued against crediting her daughter's settlement, claiming it would violate the Open Courts provision, and contended that periodic payments for future medical expenses were not properly requested or supported by evidence.",The defendants argued that Chapter 33 required a credit for the daughter's settlement and that the TMLA mandated periodic payments for future medical expenses.,"The Supreme Court reversed the judgment in part, holding that the trial court improperly denied a settlement credit for the daughter's settlement and an award of periodic payments for future medical expenses, and remanded the case for further proceedings.",defendant,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,"21-0130,-21-0133_Texas_2022/11/18","21-0130,-21-0133",State v. Aktiengesellschaft,Texas,2022/11/18,Government Structure,"Whether the Governor's appointment of substitute justices to hear a case involving the State, after original justices recused, violates due process or creates an appearance of partiality.","The State (through the Attorney General) argues that the Governor's appointment of substitute justices is a legitimate statutory process and does not create an inherent bias or violate due process, as the Governor is distinct from the named plaintiff.","Volkswagen and Audi (Respondents) argue that the Governor's appointments effectively make the State ""judge of its own cause,"" violating constitutional due process and ethical standards, and creating an appearance of impropriety.","The court denied the Respondents' requests, affirming that the Governor's appointment of substitute justices does not violate due process or ethical rules, allowing the cases to proceed with the appointed justices.",plaintiff,protected,NA,NA,protected,NA,protected,NA,NA,NA,NA,NA,NA
29,21-0547_Texas_2022/09/02,21-0547,Nath v. Texas Children's Hospital,Texas,2022/09/02,Civil Due Process,"Whether Dr. Rahul Nath is entitled to a jury finding on the reasonableness and necessity of attorney's fees imposed as sanctions, with Dr. Nath arguing for this constitutional right and the hospital and college arguing it is barred by prior rulings or waiver.",Dr. Nath argued he has a constitutional right to a jury trial to determine the reasonableness and necessity of the attorney's fees sanctions repeatedly assessed against him.,Texas Children's Hospital and Baylor College of Medicine contended that Dr. Nath's request for a jury trial on attorney's fees was barred by the law-of-the-case doctrine or that he had waived the issue.,"The Supreme Court of Texas denied Dr. Nath's petition for review, thereby upholding the lower court's decision to impose sanctions without a jury trial on the attorney's fees.",defendant,NA,NA,NA,infringed,NA,NA,NA,NA,NA,NA,NA,NA
30,21-1045_Texas_2022/06/24,21-1045,Texas Department of State Health Services v. Crown Distributing LLC,Texas,2022/06/24,Economic and Labor Rights,Whether the Texas Constitution's due-course clause protects the interest of manufacturing and processing smokable hemp products.,"The state's ban on manufacturing and processing smokable hemp products violates the Texas Constitution's due-course clause, infringing on their economic liberty to work in a business that was, or became, lawful.",The due-course clause does not protect the Hemp Companies' interest because manufacturing smokable hemp products is not a 'lawful calling' or a 'vested right' as these products were previously illegal.,"The court reversed the trial court's judgment, ruling that the manufacturing and processing of smokable hemp products is not an interest substantively protected by the Texas Constitution's due-course clause.",defendant,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,infringed
31,22-0008_Texas_2022/06/24,22-0008,Abbott v. Mexican American Legislative Caucus,Texas,2022/06/24,Voting Rights and Elections,"Whether the recently enacted Texas reapportionment laws (H.B. 1 and S.B. 4) violate Article III, Sections 26 (county-line rule) and 28 (timing) of the Texas Constitution, and whether the plaintiffs' claims are barred by jurisdictional issues such as standing, mootness, and sovereign immunity.","The Mexican American Legislative Caucus (MALC) argued H.B. 1 violates the county-line rule (Section 26). The Gutierrez Plaintiffs argued H.B. 1 violates Section 26 and both H.B. 1 and S.B. 4 violate Section 28 by being enacted during a special session instead of the first regular session after the census, infringing a state senator's right to a four-year term.","The State defendants argued that the claims were moot, plaintiffs lacked standing, and claims were barred by sovereign immunity. They contended H.B. 1 complies with Section 26, and Section 28 does not prohibit reapportionment at other times, especially given the census delay.","The court dismissed MALC's claims and the Gutierrez Plaintiffs' Section 28 claim for lack of jurisdiction due to associational standing and sovereign immunity respectively, but reversed the dismissal of the Gutierrez Plaintiffs' Section 26 claim and remanded it for repleading against a proper defendant.",other,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32,21-1088_Texas_2022/06/03,21-1088,Fire Protection Service v. Survitec Survival Products,Texas,2022/06/03,Economic and Labor Rights,"Whether the application of the Fair Practices of Equipment Manufacturers, Distributors, Wholesalers, and Dealers Act to a pre-existing at-will agreement violates the retroactivity clause in Article I, Section 16 of the Texas Constitution.","The plaintiff, Fire Protection Service, Inc. (FPS), argued that the Act's application does not violate the retroactivity clause and that Survitec's constitutional challenge should fail.","The defendant, Survitec Survival Products, Inc., argued that applying the Act to its preexisting at-will agreement unconstitutionally eliminated its right to terminate the relationship without cause.","The court concluded that the application of the Act to the parties' agreement does not violate the constitutional prohibition against retroactive laws in Article I, Section 16 of the Texas Constitution.",plaintiff,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33,20-0309_Texas_2022/05/13,20-0309,City of Baytown v. Schrock,Texas,2022/05/13,Economic and Labor Rights,"Whether the City of Baytown's utility enforcement actions, which included refusing service and placing a lien due to unpaid bills, constituted a regulatory taking of Alan Schrock's property under the Texas or United States Constitution.","Schrock claimed the city's wrongful withholding of utility service to collect payment resulted in loss of a tenant and property disrepair, constituting a taking in violation of the Texas or United States Constitution.","The City argued its enforcement actions did not show an intentional taking or damage for public use necessary to establish a constitutional right to compensation, asserting governmental immunity.","The Supreme Court reversed the court of appeals' judgment and reinstated the trial court's directed verdict, ruling that the City's utility enforcement actions did not establish a regulatory taking of private property as a matter of law.",defendant,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34,"PD-1032-20,-PD-1033-20_Texas_2022/09/28","PD-1032-20,-PD-1033-20",State v. Stephens,Texas,2022/09/28,Voting Rights and Elections,"Whether the Attorney General (AG) has independent constitutional authority to unilaterally prosecute election law offenses under Section 273.021 of the Texas Election Code, or if such authority violates the Texas Constitution's Separation of Powers Clause.","Stephens argued that the Attorney General lacked independent authority to prosecute election law offenses, and that Section 273.021 of the Texas Election Code, which grants such authority, violates the Texas Constitution's Separation of Powers Clause.",The Attorney General (representing the State) argued that the AG does possess the constitutional authority to prosecute election law offenses independently and that Stephens lacked standing to challenge who represented the State in her prosecution.,"The Court denied the Attorney General's motion for rehearing, thereby affirming its original decision that Section 273.021 of the Texas Election Code, authorizing the AG to prosecute election law offenses, violates the Texas Constitution's Separation of Powers Clause, leading to the dismissal of Stephens's indictment.",plaintiff,NA,NA,NA,protected,NA,NA,NA,protected,NA,NA,NA,NA
35,21-0667_Texas_2021/08/17,21-0667,In re Abbott,Texas,2021/08/17,Government Structure,"Whether the Texas House of Representatives has the authority to physically compel the attendance of absent members to achieve a quorum, or if its power to ""compel attendance"" is limited to persuasion and dialogue.","The House's power to ""compel the attendance of absent members"" under Article III, Section 10 of the Texas Constitution authorizes only persuasion and dialogue, not physical compulsion or arrest. They sought an injunction to prevent their arrest for breaking quorum.","The Texas Constitution, Article III, Section 10, empowers the House of Representatives to physically compel the attendance of absent members, including by arrest and detention, to achieve a quorum and conduct legislative business, consistent with historical understanding and legislative rules.",The court concluded that the Texas Constitution empowers the House of Representatives to physically compel the attendance of absent members and directed the district court to withdraw its temporary restraining order (TRO) that had prohibited such actions.,defendant,NA,NA,NA,protected,NA,NA,NA,NA,NA,NA,infringed,NA
