,State,Court,Number of Judgeships,Number of Districts/Circuits,Geographic Basis for Selection,Method of Selection (full term),Length of Term,Method of Retention,Length of Subsequent Terms,Method of Filling Interim Vacancies,When Interim Judges Stand for Election/Appointment,Selection of Chief Judge/Justice,Term of Office for Chief Judge/Justice,Qualifications,Source
44,Indiana,Circuit Court:,102,90,county,partisan election**,6 yrs,reelection,6 yrs,gubernatorial appointment,next general election,varies by circuit,varies by circuit,circuit resident; admitted to practice law in state****,"['Selection andretention methods and term lengths for appellate judges and circuit court judges are prescribed by Article 7 of the Indiana Constitution. For superior court judges, see Title 33 of the Indiana Code. ', '*There are three geographic districts and two statewide at-large districts. ', '**Elections for circuit court judges in Vanderburgh County are nonpartisan. ', '***In Lake and St. Joseph Counties, superior court judges are appointed by the governor from lists of names submitted by local nominating commissions (except judges of the county division of the Lake County superior court, who are elected).Judges stand for retention in the first general election held more than two years after their appointment. Superior court judges in Allen County run without party designation in the general election, and vacancies are filled by the governor from a list of names submitted by the Allen County judicial nominating commission. ', '****Some counties impose additional qualifications. ']"
45,Indiana,Superior Court:,196,71,county,partisan election***,6 yrs,reelection***,6 yrs,gubernatorial appointment***,next general election,varies by county,varies by county,circuit resident; admitted to practice law in state****,"['Selection andretention methods and term lengths for appellate judges and circuit court judges are prescribed by Article 7 of the Indiana Constitution. For superior court judges, see Title 33 of the Indiana Code. ', '*There are three geographic districts and two statewide at-large districts. ', '**Elections for circuit court judges in Vanderburgh County are nonpartisan. ', '***In Lake and St. Joseph Counties, superior court judges are appointed by the governor from lists of names submitted by local nominating commissions (except judges of the county division of the Lake County superior court, who are elected).Judges stand for retention in the first general election held more than two years after their appointment. Superior court judges in Allen County run without party designation in the general election, and vacancies are filled by the governor from a list of names submitted by the Allen County judicial nominating commission. ', '****Some counties impose additional qualifications. ']"
46,Iowa,Supreme Court:,7,-,statewide,gubernatorial appointment through nominating commission,at least 1 yr,retention election,8 yrs,gubernatorial appointment through nominating commission,next general election after 1 yr in office,peer vote,8 yrs,licensed in state and member of Iowa bar; resident of state; maximum age of 72,"['Selection and retention methods and term lengths are prescribed by Article V of the Iowa Constitution and Chapter 46 of the Iowa Code. ', 'Note: The Unified Trial Court Act of 1973 established a unified trial court, the district court. The act abolished more than 500 justice of the peace courts, 899 mayor’s courts, 14 municipal courts, and 34 police courts. In addition to district court judges, the unified district court includes district associate judges, associate juvenile judges, associate probate judges, and judicial magistrates who exercise varying degrees of limited jurisdiction. For example, district associate judges hear serious misdemeanor cases of $10,000 or less, associate juvenile judges are limited to juvenile court matters, associate probate judges are limited to probate matters, and judicial magistrates hear simple misdemeanor cases of $4,000 or less within their county of residence. Currently, there are 116 district court judges, 67 district associate judges, and 133 magistrates. ']"
47,Iowa,Court of Appeals:,9,-,statewide,gubernatorial appointment through nominating commission,at least 1 yr,retention election,6 yrs,gubernatorial appointment through nominating commission,next general election after 1 yr in office,peer vote,2 yrs,licensed in state and member of Iowa bar; resident of state; maximum age of 72,"['Selection and retention methods and term lengths are prescribed by Article V of the Iowa Constitution and Chapter 46 of the Iowa Code. ', 'Note: The Unified Trial Court Act of 1973 established a unified trial court, the district court. The act abolished more than 500 justice of the peace courts, 899 mayor’s courts, 14 municipal courts, and 34 police courts. In addition to district court judges, the unified district court includes district associate judges, associate juvenile judges, associate probate judges, and judicial magistrates who exercise varying degrees of limited jurisdiction. For example, district associate judges hear serious misdemeanor cases of $10,000 or less, associate juvenile judges are limited to juvenile court matters, associate probate judges are limited to probate matters, and judicial magistrates hear simple misdemeanor cases of $4,000 or less within their county of residence. Currently, there are 116 district court judges, 67 district associate judges, and 133 magistrates. ']"
48,Iowa,District Court:,116,14 elective / 8 administrative,district,gubernatorial appointment through nominating commission,at least 1 yr,retention election,6 yrs,gubernatorial appointment through nominating commission,next general election after 1 yr in office,supreme court selects,2 yrs,licensed in state and member of Iowa bar; resident of district; maximum age of 72,"['Selection and retention methods and term lengths are prescribed by Article V of the Iowa Constitution and Chapter 46 of the Iowa Code. ', 'Note: The Unified Trial Court Act of 1973 established a unified trial court, the district court. The act abolished more than 500 justice of the peace courts, 899 mayor’s courts, 14 municipal courts, and 34 police courts. In addition to district court judges, the unified district court includes district associate judges, associate juvenile judges, associate probate judges, and judicial magistrates who exercise varying degrees of limited jurisdiction. For example, district associate judges hear serious misdemeanor cases of $10,000 or less, associate juvenile judges are limited to juvenile court matters, associate probate judges are limited to probate matters, and judicial magistrates hear simple misdemeanor cases of $4,000 or less within their county of residence. Currently, there are 116 district court judges, 67 district associate judges, and 133 magistrates. ']"
49,Kansas,Supreme Court:,7,--,statewide,gubernatorial appointment from nominating commission,1 yr,retention election,6 yrs,gubernatorial appointment from nominating commission,next general election after at least 1 yr in office,seniority,indefinite,30-70 yrs old; 10 yrs active and continuous practice of law in state,"['Selection and retention methods and term lengths are prescribed by Article 3 of the Kansas Constitution and Chapter 20 of the Kansas Statutes. ', '*There are also 79 district magistrate judges who presideover the early stages of criminal cases, hear limited civil actions, and handle all juvenile cases. They are not required to be attorneys. ']"
50,Kansas,Court of Appeals:,12,--,statewide,gubernatorial appointment with senate confirmation,1 yr,retention election,4 yrs,gubernatorial appointment with senate confirmation,next general election after at least 1 yr in office,supreme court,indefinite,30-70 yrs old; 10 yrs active and continuous practice of law in state,"['Selection and retention methods and term lengths are prescribed by Article 3 of the Kansas Constitution and Chapter 20 of the Kansas Statutes. ', '*There are also 79 district magistrate judges who presideover the early stages of criminal cases, hear limited civil actions, and handle all juvenile cases. They are not required to be attorneys. ']"
51,Kansas,District Court:,167*,31,district,gubernatorial appointment from nominating commission (17 districts); partisan election (14 districts),1 yr; 4 yrs,retention election; reelection,4 yrs; 4 yrs,gubernatorial appointment from nominating commission; gubernatorial appointment,next general election after at least 1 yr in office; next general election,supreme court,2 yrs,state and district resident; maximum age is 70; member in good standing of state bar > 5 years,"['Selection and retention methods and term lengths are prescribed by Article 3 of the Kansas Constitution and Chapter 20 of the Kansas Statutes. ', '*There are also 79 district magistrate judges who presideover the early stages of criminal cases, hear limited civil actions, and handle all juvenile cases. They are not required to be attorneys. ']"
52,Kentucky,Supreme Court:,7,7,district,nonpartisan election*,8 yrs,reelection,8 yrs,gubernatorial appointment from nominating commission,**,peer vote,4 yrs,U.S. citizen; district resident 2 yrs; licensed to practice law 8 yrs,"['Selection and retention methods and term lengths are prescribed by Sections 117, 118, and 119 of the Kentucky Constitution. ', '*The two candidates receiving the highest number of votes in the primary election compete in the general election. ', '**If the unexpired term ends at the next annual election, the appointment is for the remainder of the unexpired term. If the unexpired term does not end at the next annual election and that election is more than 3 months away, judges are appointed until the next election. If there are less than 3 months until the next annual election, the appointment is until the second succeeding annual election. Elections are for the remainder of the unexpired term. ']"
53,Kentucky,Court of Appeals:,14,7,district,nonpartisan election*,8 yrs,reelection,8 yrs,gubernatorial appointment from nominating commission,**,peer vote,4 yrs,U.S. citizen; district resident 2 yrs; licensed to practice law 8 yrs,"['Selection and retention methods and term lengths are prescribed by Sections 117, 118, and 119 of the Kentucky Constitution. ', '*The two candidates receiving the highest number of votes in the primary election compete in the general election. ', '**If the unexpired term ends at the next annual election, the appointment is for the remainder of the unexpired term. If the unexpired term does not end at the next annual election and that election is more than 3 months away, judges are appointed until the next election. If there are less than 3 months until the next annual election, the appointment is until the second succeeding annual election. Elections are for the remainder of the unexpired term. ']"
54,Kentucky,Circuit Court:,146,57,circuit,nonpartisan election*,8 yrs,reelection,8 yrs,gubernatorial appointment from nominating commission,**,peer vote,2 yrs,U.S. citizen; circuit resident 2 yrs; licensed to practice law 8 yrs,"['Selection and retention methods and term lengths are prescribed by Sections 117, 118, and 119 of the Kentucky Constitution. ', '*The two candidates receiving the highest number of votes in the primary election compete in the general election. ', '**If the unexpired term ends at the next annual election, the appointment is for the remainder of the unexpired term. If the unexpired term does not end at the next annual election and that election is more than 3 months away, judges are appointed until the next election. If there are less than 3 months until the next annual election, the appointment is until the second succeeding annual election. Elections are for the remainder of the unexpired term. ']"
55,Louisiana,Supreme Court:,7,7,district,partisan election**,10 yrs,reelection,10 yrs,special election***,expiration of unexpired term,seniority,duration of service,10 yrs state practice; 1 yr district resident; maximum age of 70,"['Selection and retention methods and term lengths are prescribed by Article V of the Louisiana Constitution. ', '*Louisiana is divided into five circuits, and each circuit is divided into districts. Judges are elected from districts or at large within their circuits. ', '**Louisiana uses a blanket primary, in which all candidates appear with party labels on the primary ballot. The top two vote getters compete in the general election. ', '***Vacancies are filled within one year by special election called by the governor. In the interim, vacancies are filled by supreme court appointment. Appointees may not run in the special election. ']"
56,Louisiana,Court of Appeals:,53,5*,circuit/district*,partisan election**,10 yrs,reelection,10 yrs,special election***,expiration of unexpired term,seniority,duration of service,10 yrs state practice; 1 yr district/circuit resident; maximum age of 70,"['Selection and retention methods and term lengths are prescribed by Article V of the Louisiana Constitution. ', '*Louisiana is divided into five circuits, and each circuit is divided into districts. Judges are elected from districts or at large within their circuits. ', '**Louisiana uses a blanket primary, in which all candidates appear with party labels on the primary ballot. The top two vote getters compete in the general election. ', '***Vacancies are filled within one year by special election called by the governor. In the interim, vacancies are filled by supreme court appointment. Appointees may not run in the special election. ']"
57,Louisiana,District Court:,217,41,district,partisan election**,6 yrs,reelection,6 yrs,special election***,expiration of unexpired term,peer vote,varies by court,8 yrs state practice; 1 yr district resident; maximum age of 70,"['Selection and retention methods and term lengths are prescribed by Article V of the Louisiana Constitution. ', '*Louisiana is divided into five circuits, and each circuit is divided into districts. Judges are elected from districts or at large within their circuits. ', '**Louisiana uses a blanket primary, in which all candidates appear with party labels on the primary ballot. The top two vote getters compete in the general election. ', '***Vacancies are filled within one year by special election called by the governor. In the interim, vacancies are filled by supreme court appointment. Appointees may not run in the special election. ']"
58,Maine,Supreme Judicial Court:,7,--,statewide,gubernatorial appointment with senate confirmation*,7 yrs,gubernatorial reappointment with senate confirmation*,7 yrs,gubernatorial appointment with senate confirmation*,7 yrs,gubernatorial appointment,7 yrs,"""learned in the law""","['Selection and retention methods and term lengths are prescribed by Articles V andVI of the Maine Constitution. ', '*GovernorLePage established by executive order a fourteen-member judicial selection committee to ""advise [him] about matters related to judicial appointments and recommend candidates to fill vacancies."" Members include a representative from the attorney general\'s office and practicing attorneys. When a judicial vacancy occurs, the governor nominates a candidate to fill the vacancy. The legislature\'s joint standing committee on the judiciary recommends by majority vote that the nominee be confirmed or denied. The committee\'s recommendation is reviewed by the senate and becomes final unless two thirds of the senate votes to override the recommendation. ']"
59,Maine,Superior Court:,17,--,statewide,gubernatorial appointment with senate confirmation*,7 yrs,gubernatorial reappointment with senate confirmation*,7 yrs,gubernatorial appointment with senate confirmation*,7 yrs,chief justice,at pleasure of Chief Justice,"""learned in the law""","['Selection and retention methods and term lengths are prescribed by Articles V andVI of the Maine Constitution. ', '*GovernorLePage established by executive order a fourteen-member judicial selection committee to ""advise [him] about matters related to judicial appointments and recommend candidates to fill vacancies."" Members include a representative from the attorney general\'s office and practicing attorneys. When a judicial vacancy occurs, the governor nominates a candidate to fill the vacancy. The legislature\'s joint standing committee on the judiciary recommends by majority vote that the nominee be confirmed or denied. The committee\'s recommendation is reviewed by the senate and becomes final unless two thirds of the senate votes to override the recommendation. ']"
60,Maryland,Court of Appeals:,7,--,circuit,gubernatorial appointment from nominating commission with senate confirmation,at least one year,retention election,10 years,gubernatorial appointment from nominating commission with senate confirmation,first general election at least one year after vacancy,designated by governor,indefinite,U.S. and state citizen; registered to vote in state elections; state resident 5 yrs; circuit resident 6 mos; 30 yrs of age; state bar member; mandatory retirement age of 70,"['Selection and retention methods and term lengths are prescribed by Article IV of the Maryland Constitution and Executive Order 01.01.2007.08. ', '*The names of incumbent judges and challengers appear without party affiliation on both the Republican and Democratic primary ballots. The top votegetters in each primary compete in the general election. Ballots do not denote incumbents. ']"
61,Maryland,Court of Special Appeals:,13,--,circuit,gubernatorial appointment from nominating commission with senate confirmation,at least one year,retention election,10 years,gubernatorial appointment from nominating commission with senate confirmation,first general election at least one year after vacancy,designated by governor,indefinite,U.S. and state citizen; registered to vote in state elections; state resident 5 yrs; circuit resident 6 mos; 30 yrs of age; state bar member; mandatory retirement age of 70,"['Selection and retention methods and term lengths are prescribed by Article IV of the Maryland Constitution and Executive Order 01.01.2007.08. ', '*The names of incumbent judges and challengers appear without party affiliation on both the Republican and Democratic primary ballots. The top votegetters in each primary compete in the general election. Ballots do not denote incumbents. ']"
62,Maryland,Circuit Court:,153,--,county/city,gubernatorial appointment from nominating commission and/or nonpartisan election,at least one year,nonpartisan election*,15 years,gubernatorial appointment from nominating commission,first general election at least one year after vacancy,seniority,N/A,U.S. and state citizen; registered to vote in state elections; state resident 5 yrs; circuit resident 6 mos; 30 yrs of age; state bar member; mandatory retirement age of 70,"['Selection and retention methods and term lengths are prescribed by Article IV of the Maryland Constitution and Executive Order 01.01.2007.08. ', '*The names of incumbent judges and challengers appear without party affiliation on both the Republican and Democratic primary ballots. The top votegetters in each primary compete in the general election. Ballots do not denote incumbents. ']"
63,Massachusetts,Supreme Judicial Court:,7,--,statewide,gubernatorial appointment with approval of governor's council*,to age 70,N/A,N/A,gubernatorial appointment with governor's council approval*,N/A,gubernatorial appointment with governor's council approval*,to age 70,mandatory retirement age of 70,"['Selection and retention methods and term lengths are prescribed byPart II, ChaptersII andIIIof the Massachusetts Constitution and Executive Order 500. ', ""*The nominating commission screens applicants for the supreme judicial court at the governor's discretion. The governor's council, also referred to as the executive council, is a constitutionally authorized body that advises the governor on Massachusetts affairs.The eight-member council is elected annually by the voters of the Commonwealth. "", '**These qualifications are prescribed in Executive Order 500. ']"
64,Massachusetts,Appeals Court:,25,--,statewide,gubernatorial appointment from nominating commission with approval of governor's council*,to age 70,N/A,N/A,gubernatorial appointment from nominating commission with governor's council approval*,N/A,gubernatorial appointment from nominating commission with governor's council approval*,to age 70,U.S. citizen; state resident; state bar member in good standing; 13 yrs legal experience and training**; mandatory retirement age of 70,"['Selection and retention methods and term lengths are prescribed byPart II, ChaptersII andIIIof the Massachusetts Constitution and Executive Order 500. ', ""*The nominating commission screens applicants for the supreme judicial court at the governor's discretion. The governor's council, also referred to as the executive council, is a constitutionally authorized body that advises the governor on Massachusetts affairs.The eight-member council is elected annually by the voters of the Commonwealth. "", '**These qualifications are prescribed in Executive Order 500. ']"
65,Massachusetts,Superior Court:,82,--,statewide,gubernatorial appointment from nominating commission with approval of governor's council*,to age 70,N/A,N/A,gubernatorial appointment from nominating commission with governor's council approval*,N/A,selected by chief justice for administration and management,5 years,U.S. citizen; state resident; state bar member in good standing; 10 yrs legal experience and training**; mandatory retirement age of 70,"['Selection and retention methods and term lengths are prescribed byPart II, ChaptersII andIIIof the Massachusetts Constitution and Executive Order 500. ', ""*The nominating commission screens applicants for the supreme judicial court at the governor's discretion. The governor's council, also referred to as the executive council, is a constitutionally authorized body that advises the governor on Massachusetts affairs.The eight-member council is elected annually by the voters of the Commonwealth. "", '**These qualifications are prescribed in Executive Order 500. ']"
66,Michigan,Supreme Court:,7,--,statewide,partisan nomination; nonpartisan election*+,8 yrs,reelection,8 yrs,gubernatorial appointment**,next general election; serve remainder of unexpired term,peer vote,2 yrs,qualified elector; licensed to practice law in state; 5 yrs practice of law; less than 70 yrs of age,"['Selection and retention methods and term lengths are prescribed by Article VI of the Michigan Constitution. ', '*Candidates for open seats on the supreme court or who want to challenge incumbent justices must be nominated at party conventions or by nominating petition. Incumbent justices may file an affidavit of candidacy, asking to be placed on the ballot. Candidates for other courts are nominated in nonpartisan primary elections or by nominating petition. Incumbent judges may file an affidavit of candidacy. Candidates appear without party affiliation on the general election ballot, with incumbent judges designated as such. ', '**The standing committee on judicial qualifications of the State Bar of Michigan interviews, evaluates, and rates candidates for appointment to judicial vacancies as requested by the governor and submits a confidential report to the governor. ', '+Incumbency is designated on the ballot by including the current title of the judge up for reelection. The elections are also marked as incumbent positions. ']"
67,Michigan,Court of Appeals:,28,4,district,nonpartisan election*+,6 yrs,reelection,6 yrs,gubernatorial appointment**,next general election; serve remainder of unexpired term,supreme court appointment,2 yrs,qualified elector of district; licesed to practice law in state; 5 yrs practice of law; less than 70 yrs of age,"['Selection and retention methods and term lengths are prescribed by Article VI of the Michigan Constitution. ', '*Candidates for open seats on the supreme court or who want to challenge incumbent justices must be nominated at party conventions or by nominating petition. Incumbent justices may file an affidavit of candidacy, asking to be placed on the ballot. Candidates for other courts are nominated in nonpartisan primary elections or by nominating petition. Incumbent judges may file an affidavit of candidacy. Candidates appear without party affiliation on the general election ballot, with incumbent judges designated as such. ', '**The standing committee on judicial qualifications of the State Bar of Michigan interviews, evaluates, and rates candidates for appointment to judicial vacancies as requested by the governor and submits a confidential report to the governor. ', '+Incumbency is designated on the ballot by including the current title of the judge up for reelection. The elections are also marked as incumbent positions. ']"
68,Michigan,Circuit Court:,221,57,circuit,nonpartisan election*+,6 yrs,reelection,6 yrs,gubernatorial appointment**,next general election; serve remainder of unexpired term,supreme court appointment,2 yrs,qualified elector of circuit; licensed to practice law in state; 5 yrs practice of law; less than 70 yrs of age,"['Selection and retention methods and term lengths are prescribed by Article VI of the Michigan Constitution. ', '*Candidates for open seats on the supreme court or who want to challenge incumbent justices must be nominated at party conventions or by nominating petition. Incumbent justices may file an affidavit of candidacy, asking to be placed on the ballot. Candidates for other courts are nominated in nonpartisan primary elections or by nominating petition. Incumbent judges may file an affidavit of candidacy. Candidates appear without party affiliation on the general election ballot, with incumbent judges designated as such. ', '**The standing committee on judicial qualifications of the State Bar of Michigan interviews, evaluates, and rates candidates for appointment to judicial vacancies as requested by the governor and submits a confidential report to the governor. ', '+Incumbency is designated on the ballot by including the current title of the judge up for reelection. The elections are also marked as incumbent positions. ']"
69,Minnesota,Supreme Court:,7,-,statewide,nonpartisan election*+,6 yrs,reelection,6 yrs,gubernatorial appointment,next general election more than 1 yr after appointment,nonpartisan election,6 yrs,"""learned in the law;"" mandatory retirement at 70","['Selection and retention methods and term lengths are prescribed by Article VI of the Minnesota Constitution. ', '*The two candidates receiving the most votes in the primary election are placed on the ballot for the general election. ', ""+Incumbency is designated on the ballot by the word 'Incumbent' underneath the name of the current judge in the position up for reelection. ""]"
70,Minnesota,Court of Appeals:,16,--,statewide,nonpartisan election*+,6 yrs,reelection,6 yrs,gubernatorial appointment,next general election more than 1 yr after appointment,gubernatorial appointment,3 yrs,"""learned in the law;"" mandatory retirement at 70","['Selection and retention methods and term lengths are prescribed by Article VI of the Minnesota Constitution. ', '*The two candidates receiving the most votes in the primary election are placed on the ballot for the general election. ', ""+Incumbency is designated on the ballot by the word 'Incumbent' underneath the name of the current judge in the position up for reelection. ""]"
71,Minnesota,District Court:,289,10,district,nonpartisan election*+,6 yrs,reelection,6 yrs,gubernatorial appointment from nominating commission,next general election more than 1 yr after appointment,peer vote,2 yrs,"""learned in the law;"" mandatory retirement at 70","['Selection and retention methods and term lengths are prescribed by Article VI of the Minnesota Constitution. ', '*The two candidates receiving the most votes in the primary election are placed on the ballot for the general election. ', ""+Incumbency is designated on the ballot by the word 'Incumbent' underneath the name of the current judge in the position up for reelection. ""]"
72,Mississippi,Supreme Court:,9,3,district,nonpartisan election*,8 yrs,reelection,8 yrs,gubernatorial appointment,**,seniority,duration of service,practicing attorney 5 yrs; minimum age of 30; state citizen 5 yrs,"['Selection and retention methods and term lengths are prescribed by Article 6 of the Mississippi Constitutionand Section 9-4-5 of the MIssissippi Code. ', '*Judicial candidates run in the general election. If no candidate receives a majority of the vote, a runoff election between the top two candidates is held. ', '**According to a law passed in 2002, an appointee serves out the remainder of the unexpired term if four years or less remain on the term. If more than four years remain, the appointee runs in the next general election held more than nine months after the vacancy occurs and then serves the remainder of the term. ']"
73,Mississippi,Court of Appeals:,10,5,district,nonpartisan election*,8 yrs,reelection,8 yrs,gubernatorial appointment,**,chief justice appoints,4 yrs,practicing attorney 5 yrs; minimum age of 30; state citizen 5 yrs,"['Selection and retention methods and term lengths are prescribed by Article 6 of the Mississippi Constitutionand Section 9-4-5 of the MIssissippi Code. ', '*Judicial candidates run in the general election. If no candidate receives a majority of the vote, a runoff election between the top two candidates is held. ', '**According to a law passed in 2002, an appointee serves out the remainder of the unexpired term if four years or less remain on the term. If more than four years remain, the appointee runs in the next general election held more than nine months after the vacancy occurs and then serves the remainder of the term. ']"
74,Mississippi,Circuit Court:,51,22,district,nonpartisan election*,4 yrs,reelection,4 yrs,gubernatorial appointment,next general election held more than 9 mos after vacancy occurs,seniority,duration of service,practicing attorney 5 yrs; minimum age of 26; state citizen 5 yrs; district resident,"['Selection and retention methods and term lengths are prescribed by Article 6 of the Mississippi Constitutionand Section 9-4-5 of the MIssissippi Code. ', '*Judicial candidates run in the general election. If no candidate receives a majority of the vote, a runoff election between the top two candidates is held. ', '**According to a law passed in 2002, an appointee serves out the remainder of the unexpired term if four years or less remain on the term. If more than four years remain, the appointee runs in the next general election held more than nine months after the vacancy occurs and then serves the remainder of the term. ']"
75,Missouri,Supreme Court:,7,1,statewide,gubernatorial appointment from nominating commission,1-3 yrs,retention election,12 yrs,gubernatorial appointment from nominating commission,next general election after 1 yr in office,rotation with peer vote***,2 yrs,U.S. citizen 15 yrs; qualified state voter 9 yrs; licensed to practice in state; minimum age of 30; mandatory retirement age of 70,"['Selection andretention methods and term lengths are prescribed by Article V of theMissouri Constitution. ', '*The constitution establishes a merit selection process for circuit and associate circuit judges in the city of St. Louis and in Jackson County (Kansas City). The constitution also provides that, in other circuits, merit selection may be adopted with the approval of a majority of circuit voters. The question is submitted to the voters of a judicial circuit at the next general election upon the filing of a petition signed by 10% of the voters of each county in the circuit who voted in the last gubernatorial election. The question may not be submitted to voters more often than every four years. Merit selection has been adopted in this way in Clay, Platte, St. Louis, and GreeneCounties. In circuits that have already moved to merit selection, it may be discontinued through the same process. ', '**The circuit court consists of six divisions: a circuit division, an associate division, a probate division, a municipal division, a juvenile division, and a family court division. The circuit division exercises jurisdiction over all civil and criminal cases and is served by 135 circuit judges. The remaining divisions are served by circuit judges in conjunction with 175 associate circuit judges, 331 municipal judges, and various commissioners. Associate circuit judges are appointed in the same manner as circuit judges and serve four-year terms. Municipal judges are elected or appointed according to city ordinance or charter and serve terms of at least two years. Commissioners are appointed by circuit judges, usually to four-year terms. ', '***By tradition, the court elects the most senior justice who has not yet held the position. ']"
76,Missouri,Court of Appeals:,32,3,district,gubernatorial appointment from nominating commission,1-3 yrs,retention election,12 yrs,gubernatorial appointment from nominating commission,next general election after 1 yr in office,rotation with peer vote,2 yrs,U.S. citizen 15 yrs; district resident;  qualified state voter 9 yrs; licensed to practice in state; minimum age of 30; mandatory retirement age of 70,"['Selection andretention methods and term lengths are prescribed by Article V of theMissouri Constitution. ', '*The constitution establishes a merit selection process for circuit and associate circuit judges in the city of St. Louis and in Jackson County (Kansas City). The constitution also provides that, in other circuits, merit selection may be adopted with the approval of a majority of circuit voters. The question is submitted to the voters of a judicial circuit at the next general election upon the filing of a petition signed by 10% of the voters of each county in the circuit who voted in the last gubernatorial election. The question may not be submitted to voters more often than every four years. Merit selection has been adopted in this way in Clay, Platte, St. Louis, and GreeneCounties. In circuits that have already moved to merit selection, it may be discontinued through the same process. ', '**The circuit court consists of six divisions: a circuit division, an associate division, a probate division, a municipal division, a juvenile division, and a family court division. The circuit division exercises jurisdiction over all civil and criminal cases and is served by 135 circuit judges. The remaining divisions are served by circuit judges in conjunction with 175 associate circuit judges, 331 municipal judges, and various commissioners. Associate circuit judges are appointed in the same manner as circuit judges and serve four-year terms. Municipal judges are elected or appointed according to city ordinance or charter and serve terms of at least two years. Commissioners are appointed by circuit judges, usually to four-year terms. ', '***By tradition, the court elects the most senior justice who has not yet held the position. ']"
77,Missouri,Circuit Court:,141**,45,circuit,partisan election,6 yrs,reelection,6 yrs,gubernatorial appointment,next general election,elected by circuit and associate judges from among circuit judges,2 yrs,U.S. citizen 10 yrs; qualified state voter 3 yrs; circuit resident 1 yr; licensed to practice in state; minimum age of 30; mandatory retirement age of 70,"['Selection andretention methods and term lengths are prescribed by Article V of theMissouri Constitution. ', '*The constitution establishes a merit selection process for circuit and associate circuit judges in the city of St. Louis and in Jackson County (Kansas City). The constitution also provides that, in other circuits, merit selection may be adopted with the approval of a majority of circuit voters. The question is submitted to the voters of a judicial circuit at the next general election upon the filing of a petition signed by 10% of the voters of each county in the circuit who voted in the last gubernatorial election. The question may not be submitted to voters more often than every four years. Merit selection has been adopted in this way in Clay, Platte, St. Louis, and GreeneCounties. In circuits that have already moved to merit selection, it may be discontinued through the same process. ', '**The circuit court consists of six divisions: a circuit division, an associate division, a probate division, a municipal division, a juvenile division, and a family court division. The circuit division exercises jurisdiction over all civil and criminal cases and is served by 135 circuit judges. The remaining divisions are served by circuit judges in conjunction with 175 associate circuit judges, 331 municipal judges, and various commissioners. Associate circuit judges are appointed in the same manner as circuit judges and serve four-year terms. Municipal judges are elected or appointed according to city ordinance or charter and serve terms of at least two years. Commissioners are appointed by circuit judges, usually to four-year terms. ', '***By tradition, the court elects the most senior justice who has not yet held the position. ']"
78,Missouri,"Circuit Court (Kansas City, Springfield, St. Louis)*:",-,-,"""",gubernatorial appointment from nominating commission,"""",retention election,"""",gubernatorial appointment from nominating commission,next general election after 1 yr in office,"""","""","""","['Selection andretention methods and term lengths are prescribed by Article V of theMissouri Constitution. ', '*The constitution establishes a merit selection process for circuit and associate circuit judges in the city of St. Louis and in Jackson County (Kansas City). The constitution also provides that, in other circuits, merit selection may be adopted with the approval of a majority of circuit voters. The question is submitted to the voters of a judicial circuit at the next general election upon the filing of a petition signed by 10% of the voters of each county in the circuit who voted in the last gubernatorial election. The question may not be submitted to voters more often than every four years. Merit selection has been adopted in this way in Clay, Platte, St. Louis, and GreeneCounties. In circuits that have already moved to merit selection, it may be discontinued through the same process. ', '**The circuit court consists of six divisions: a circuit division, an associate division, a probate division, a municipal division, a juvenile division, and a family court division. The circuit division exercises jurisdiction over all civil and criminal cases and is served by 135 circuit judges. The remaining divisions are served by circuit judges in conjunction with 175 associate circuit judges, 331 municipal judges, and various commissioners. Associate circuit judges are appointed in the same manner as circuit judges and serve four-year terms. Municipal judges are elected or appointed according to city ordinance or charter and serve terms of at least two years. Commissioners are appointed by circuit judges, usually to four-year terms. ', '***By tradition, the court elects the most senior justice who has not yet held the position. ']"
79,Montana,Supreme Court:,7,--,statewide,nonpartisan election*,8 yrs,reelection,8 yrs,gubernatorial appointment from nominating commission with senate confirmation,hold office for remainder of unexpired term,nonpartisan election,8 yrs,U.S. citizen; state resident 2 yrs; admitted to practice law in Montana for at least 5 years prior to date of appointment/election,[]
80,Montana,District Court:,43,22,district,nonpartisan election*,6 yrs,reelection,6 yrs,gubernatorial appointment from nominating commission with senate confirmation,hold office for remainder of unexpired term,seniority/rotation,duration of service/1 yr,U.S. citizen; state resident 2 yrs; district resident; admitted to practice law in Montana for at least 5 yrs prior to date of appointment,[]
81,Nebraska,Supreme Court:,7,6,statewide (chief justice); district (associate justices),gubernatorial appointment from nominating commission,at least 3 yrs,retention election,6 yrs,gubernatorial appointment from nominating commission,next general election after 3 yrs in office,gubernatorial appointment from nominating commission,duration of service,U.S. citizen; > 3 yrs state resident; district resident; minimum age of 30; > 5 yrs state practice; state bar member,[]
82,Nebraska,Court of Appeals:,6,6,district,gubernatorial appointment from nominating commission,at least 3 yrs,retention election,6 yrs,gubernatorial appointment from nominating commission,next general election after 3 yrs in office,peer vote with supreme court approval,2 yrs,U.S. citizen; state resident; minimum age of 30; > 5 yrs state practice; state bar member,[]
83,Nebraska,District Court:,55,12,district,gubernatorial appointment from nominating commission,at least 3 yrs,retention election,6 yrs,gubernatorial appointment from nominating commission,next general election after 3 yrs in office,peer vote,1 yr,U.S. citizen; district resident; minimum age of 30; > 5 yrs state practice; state bar member,[]
